formula,year
Ag0.2Sn0.8Te1,1960
Ag0.2In0.8Te1,1960
Ag0.2Ge2Pd1.8Sr1,1960
N1Se1,1960
In1Rh1,1960
In1Pt2Y1,1960
In1Sc2,1960
In2.73Sn0.27Y1,1960
In2Te1,1960
In3Th1,1960
Na3Sb1,1960
Nb0.35Ti0.3Zr0.35,1960
Nb0.69Tc0.31,1960
La1Pd3,1960
La4Pb1Sb2,1960
Ir1Nd1Si1,1960
Ir1Sb1,1960
Ir1Si1Tb1,1960
Ir1Y4,1960
In0.17Pb0.83,1960
In0.46S8V6,1960
Ir1Te2,1960
C1Co0.2Mg1Ni2.8,1960
C1Cu0.03Mg1Ni2.97,1960
C1Cu0.06Mg1Ni2.94,1960
C1Cu0.09Mg1Ni2.91,1960
C1Fe0.001Mg1Ni2.999,1960
C1Fe0.005Mg1Ni2.995,1960
C1Fe0.015Mg1Ni2.985,1960
Ag0.1Sn0.87Te1,1960
Ir0.96Rh0.04Te2,1960
Ir0.99Pd0.01Te2,1960
Ir0.9Pt0.1Te2,1960
Ir1Lu1,1960
Ir1Sc1,1960
Ir1Se2,1960
Ir1Si1,1960
Ag0.1In0.9Te1,1960
C0.25N0.75Nb0.85Ti0.15,1960
Ag0.1Ge2Pd1.9Sr1,1960
Ag0.775Sn0.225,1960
Na1Te1,1960
Br1.75C2I0.25Y2,1960
Br2C2Y2,1960
Ir2P1,1960
Bi2Ir1,1960
